section-summary,section-stack
"서버/백엔드,프론트엔드,웹풀스택","['PostgreSQL', 'Docker', 'Vue.js', 'Ruby', 'Ruby on Rails']"
"서버/백엔드,머신러닝,블록체인","['Docker', 'Amazon Web Services(AWS)', 'ReactJS', 'Node.js', 'Kubernetes', 'Tensorflow']"
"프론트엔드,안드로이드앱,아이폰앱","['JavaScript', 'HTML', 'CSS', 'Node.js']"
"사물인터넷(IoT),블록체인",['MSSQL(Microsoft SQL Server)']
"서버/백엔드,모바일게임,시스템/네트워크","['REST API', 'Java', 'NoSQL', 'C#']"
"프론트엔드,머신러닝,데이터엔지니어","['Bootstrap', 'PHP', 'C#', 'Apache HTTP Server', 'Apache Tomcat', 'GitLab', 'iOS', 'MySQL', 'Android', 'Java']"
서버/백엔드,"['Kubernetes', 'Docker', 'Flask', 'Python', 'Django', 'AWS Lambda', 'MySQL', 'Git']"
프론트엔드,"['JavaScript', 'Vue.js', 'ES6', 'Sass(SCSS)', 'Webpack', 'Git']"
"안드로이드앱,아이폰앱","['JavaScript', 'React Native', 'Android', 'Git', 'Objective-C', 'ReactJS']"
서버/백엔드,"['Ruby on Rails', 'SQL', 'Database']"
"모바일게임,게임클라이언트","['Cocos2d', 'C++']"
"모바일게임,게임클라이언트",['C++']
"안드로이드앱,아이폰앱,모바일게임","['C++', 'C#']"
서버/백엔드,"['Python', 'JavaScript', 'Java']"
"모바일게임,게임서버",['NoSQL']
데이터엔지니어,"['Python', 'R', 'SQL']"
시스템소프트웨어,"['Apache Spark', 'Apache Hadoop']"
"모바일게임,게임클라이언트","['Unity', 'C#']"
"모바일게임,게임서버",['Scala']
"모바일게임,게임클라이언트",['Unity']
"서버/백엔드,프론트엔드","['Git', 'Node.js', 'TypeScript', 'MySQL', 'Docker']"
데이터엔지니어,"['Python', 'Scala', 'SQL', 'Apache Spark']"
데이터엔지니어,"['Python', 'Linux', 'Apache Spark']"
"서버/백엔드,모바일게임","['Go', 'Python', 'Scala', 'Java', 'JavaScript', 'Django', 'Docker']"
"프론트엔드,블록체인","['ReactJS', 'ES6', 'Webpack', 'web3.js', 'TypeScript']"
"서버/백엔드,프론트엔드","['Ruby', 'Ruby on Rails', 'JavaScript', 'HTML', 'jQuery', 'Sass(SCSS)', 'MySQL', 'ReactJS', 'AWS EC2', 'AWS S3', 'Docker']"
"게임클라이언트,게임서버","['Unity', 'C#', 'AWS Lambda', 'AWS EC2', 'AWS S3', 'OpenCV', 'WebGL']"
"서버/백엔드,프론트엔드,아이폰앱","['Swift', 'Objective-C', 'Cocoa', 'AWS S3', 'AWS EC2']"
서버/백엔드,"['AWS Lambda', 'Python', 'AWS API Gateway', 'MariaDB', 'Node.js', 'GitHub', 'Git']"
"서버/백엔드,프론트엔드,블록체인","['Node.js', 'AngularJS', 'JavaScript']"
"서버/백엔드,프론트엔드,블록체인",['C']
프론트엔드,"['JavaScript', 'ReactJS', 'AngularJS', 'Vue.js', 'Node.js', 'Webpack', 'HTML', 'CSS', 'Sass(SCSS)']"
"서버/백엔드,모바일게임,시스템/네트워크","['Docker', 'Datadog', 'Azure', 'Java', 'C++', 'C#', 'Go', 'Python', 'Rust', 'Scala']"
프론트엔드,"['AngularJS', 'Webpack', 'ReactJS', 'Vue.js', 'Node.js']"
서버/백엔드,"['Java', 'Spring']"
서버/백엔드,['Java']
아이폰앱,"['Objective-C', 'Swift']"
안드로이드앱,"['Kotlin', 'Java']"
"머신러닝,인공지능(AI),응용프로그램","['C++', 'Machine Learning', 'Deep Learning']"
서버/백엔드,"['Ruby on Rails', 'Database', 'Memcached', 'Redis', 'AWS RDS']"
블록체인,"['C', 'C++', 'PHP', 'Python', 'Node.js']"
"서버/백엔드,시스템/네트워크","['Docker', 'AWS EC2', 'Logstash', 'Terraform', 'Fluentd', 'AWS ElasticBeanstalk', 'Redis', 'AWS CloudWatch', 'Kibana', 'Elasticsearch']"
서버/백엔드,"['Ruby on Rails', 'Ruby']"
"서버/백엔드,시스템/네트워크,시스템소프트웨어","['AWS RDS', 'AWS EC2', 'Docker']"
데이터엔지니어,"['SQL', 'R', 'Python']"
"서버/백엔드,프론트엔드,웹풀스택","['Node.js', 'ExpressJS', 'Java', 'MVC', 'Linux', 'NoSQL', 'ReactJS', 'Vue.js']"
"안드로이드앱,아이폰앱","['Git', 'Kotlin', 'MVC']"
"서버/백엔드,프론트엔드,안드로이드앱","['Python', 'Django', 'AWS Lambda', 'AngularJS', 'ReactJS', 'Vue.js']"
