기업명,직무,주요 업무,자격 요건,우대 사항
뉴스킨코리아(주),Information Security Engineer: 정보 보안 엔지니어,"1. 국내 ISMS/CBPR/보안 감사 및 PCI 내부 감사 통과 준비
2. 개인정보보호법에 따른 개인정보처리방침 수립 및 운영
3. 개인정보처리 서비스 검토 및 관리/기술적 보호 조치 안내
4. 개인정보처리 수탁업체 점검
5. 정보보안 정책 수립
6. 내부/외부 보안 위협 제거 및 사업 연속성 확보를 위한 정보보안 의식 강화","1. 국내 개인정보보호법에 대한 지식
2. 국내 정보통신망 이용촉진 및 정보보호 등에 관한 법률에 대한 지식
3. 뉴스킨 코리아의 디지털 플랫폼에 대한 이해
4. 회사의 보안 정책을 설명하고 보안 인식을 향상시킬 수 있는 능력
5. 보안 모니터링 기술 및 보안 시스템 운영에 대한 숙련도를 보유하신 분
6. 유연한 커뮤니케이션 스킬을 보유하신 분",
(주)렛유인에듀,취업 교육 콘텐츠 기획자(신입/경력) 모집,#NAME?,"- 대졸 이상 (전공무관)
- OA 활용능력 우수자 (엑셀, PPT, 워드)
- #도전적 #집요함 #고객친화적 #아이디어뱅크 → 내가 딱 이런 사람이다 싶으신 분!
- 협업의 달인! 여러 의견을 수렴하여 최고의 실행방안을 만들 자신이 있으신 분
- 일 할때는 치열하게! 그 외에는 유쾌하게 팀원과 소통하실 분",#NAME?
오엠티아이코리아(주),[신입] ASP.NET개발자,"[주요업무]
? 웹 어플리케이션 개발 및 유지보수

[개발 환경]
? 프론트엔드: Jquery, Kendo UI Component 기반의 MVVM 패턴 개발. Ajax사용
? 백엔드: Microsoft ASP.NET MVC 5
? 데이터베이스: Microsoft SQL Server
? 서버: Microsoft Azure 기반의 Windows Server Platform
? 형상관리: GitHub
? 협업 관리 툴: Axosoft + SmartSheet + Google Workspace
? 개발 문화: 사내 코딩 가이드 룰에 따른 코딩 패턴 준수하고 100% 코드 리뷰 진행","? 초대졸이상 혹은 졸업자
? 해외여행에 결격사유가 없으신 분
? 관련 학과 졸업 혹은 관련 교육 과정 6개월 이상 이수자
? 프로그램 개발에 관심이 많으신 분",? ASP.NET MVC 유경험자
(주)오니스트,콘텐츠 기획/제작자,"콘텐츠 기획/제작자는 새로운 크리에이티브로 감도 높은 브랜딩과 매출 퍼포먼스를 모두 고려한 콘텐츠를 기획하고, 제작하는 역할을 담당합니다.

[업무 예시]

- 콘텐츠 소구포인트 발굴
- 카피, 이미지, 영상 등으로 콘텐츠 기획, 제작
- 숏폼 영상 콘텐츠 기획 및 기획물 콘텐츠 촬영
- 영상 콘텐츠 편집, 베리에이션(영상 크로핑, 사이즈 변환, 숏폼 형태 가공 등)
- 관련 촬영 기획/ 제작 일정 관리","[필수요건]

- 포트폴리오 제출 가능한 분
- 콘텐츠를 통한 매출 및 ROAS 개선 경험
- Adobe tool (Premiere Pro, After Effects, Photoshop, Illustrator 등) 사용 가능하신 분
- 업무에 대한 높은 책임감과 꼼꼼함을 가지신 분
- 빠른 실행력을 가지신 분
- 원활한 커뮤니케이션을 통한 협업 능력을 가지신 분","[선호요건]

- 유관 업무를 경험해보신 분
- 숏폼 콘텐츠 관심 및 콘텐츠 소비량이 높은 분"
오엠티아이코리아(주),경력자 시스템엔지니어,"Azure 클라우드 기반 서버 구축 및 운영

[주요업무]
? Microsoft Azure 개발환경, 운영환경 구축 및 운영
? Microsoft Failover Clustering & SQL AlwaysOn 구축 및 운영","? IT서비스관련 경험 2년 이상
? Azure 클라우드 아키텍처
? 설계/구축/운영 경험 (1년 이상)
? 서버, 네트워크, 자동화 처리 지식 보유
? 클라우드 기반 DBMS 운영 경험
? IIS Web Farm 운영 경험 보유
? SQL Server 설치, 연동 및 운영 경험
? SQL AlwaysOn 운영 경험 보유
? 초대졸 이상 졸업자
? 해외여행에 결격사유가 없으신 분
? 동일 직무에 대해 2~7년 이하의 경력이 있으신 분","? Azure 기반 RDBMS 최적화, 운영 경험
? DB 모니터링 툴 사용 유 경험자
? Log 수집 자동화, 인프라 로그 분석, 트러블 슈팅 경험"
오엠티아이코리아(주),ASP.NET 중급개발자,"[주요업무]
? 웹 어플리케이션 개발 및 유지보수

[개발 환경]
? 프론트엔드: Jquery, Kendo UI Component 기반의 MVVM 패턴 개발. Ajax사용
? 백엔드: Microsoft ASP.NET MVC 5
? 데이터베이스: Microsoft SQL Server
? 서버: Microsoft Azure 기반의 Windows Server Platform
? 형상관리: GitHub
? 협업 관리 툴: Axosoft + SmartSheet + Google Workspace
? 개발 문화: 사내 코딩 가이드 룰에 따른 코딩 패턴 준수하고 100% 코드 리뷰 진행","? 초대졸이상 졸업자
? 해외여행에 결격사유가 없으신 분
? 동일 직무에 대해 2~7년 이하의 경력이 있으신 분
? 연봉은 동일 직무 경력으로 협의
? 1년 이상 ASP.NET MVC를 사용해 보신 분
? T-SQL 작성이 가능하신 분","? Kendo UI 유경험자
? Microsoft Azure 유경험자"
(주)브레이브모바일,Product Designer,"[포지션 정보]
? 소속 팀: Product Team / Design Chapter
? 고용 형태: 정규직 (3개월 시용 기간)
? 근무 시간: 주 5일 (월~금), 탄력근무제 운영 (오전 8시~11시 자율 출근), 주 40시간 근무제 운영

[합류 직후 이런 일을 해요]
? 목적 조직(Squad) 내 도메인에 대한 가설 설계와 디자인 구현까지의 End to End를 책임집니다
? 유저 리서치, VOC 등 정량/정성 데이터 분석을 통해 유저의 니즈를 이해하고 코어 문제를 해결합니다
? 비즈니스 목표와 사용성의 균형을 고려한 새로운 일감을 발굴하고 제안합니다
? 숨고만의 디자인 시스템(Prisma) 구축 프로젝트에 참여하여 유저에게 일관된 사용자 경험을 제공하는데 기여합니다

[장기적으로 이런 일도 할 수 있어요]
? 챕터 구성원들의 디자인 퀄리티를 향상시킬 수 있는 사이드 프로젝트를 주도적으로 진행합니다
? 유연하고 체계적인 프로덕트 디자인 업무 문화를 구축하여 생산성 높은 업무 환경을 조성합니다","[자격 요건]
? 2년 이상의 인하우스 경력을 포함하여 5년 이상의 프로덕트 디자인 업무를 경험하신 분
? 단순히 그려내는 디자인이 아닌 사용자 경험에 기반한 최적의 디자인을 구현할 수 있으신 분
? Figma, Sketch 등의 UI Tool에 대한 높은 숙련도를 바탕으로 구성원들에게 가이드라인을 제시할 수 있는 분
? 애자일, 스쿼드 및 스프린트 방식 등 속도감 있는 스타트업 환경에 익숙하신 분
? 디자인 Iteration 과정의 중요성과 필요성을 이해하고 계신 분
? Web, Mobile Web 그리고 App 기반의 서비스에서의 경험이 있으신 분
? 정성/정량 데이터를 기반으로 복잡도 있는 문제를 정의하고 해결해 본 경험이 있으신 분
? 숨고 디자인 원칙에 공감하시는 분(아래 기재)
[직관성] 모두에게 쉽습니다.
[효율성] 시간과 비용을 아껴줍니다.
[연결성] 상호작용을 활발하게 만들어줍니다.
[신뢰성] 믿을 수 있습니다.
[심미성] 시각 완성도가 높습니다.","[우대사항]
? 높은 트래픽을 보유한 서비스 혹은 큰 규모의 IT 조직에서의 프로덕트 디자인 경험을 보유하신 분
? 프로덕트 런칭부터 고도화까지의 전 과정을 경험해보신 분
? 프로토타이핑을 통한 실험 검증을 통해 조직에 긍정적인 임팩트를 가져온 경험이 있으신 분
? Two-sided 플랫폼 비즈니스(커머스, 매칭, 중개 등)에 대한 이해도가 있으신 분
? 인터랙션 디자인 또는 제품에 필요한 일러스트 등 디자인 리소스 제작이 가능하신 분
? 업무에 대한 뚜렷한 직업의식을 갖고 계신 분

[미래의 동료에게 드리는 한 마디]
안녕하세요, Design Chapter Lead Jay 입니다. 6명의 Product Designer와 1명의 Platform Designer로 구성된 Design Chapter에서 설레는 마음으로 Product Designer를 새로 모시게 되었습니다. 숨고에 합류하시게 된다면 숨고 고수의 활동을 활성화 시키기 위한 목적조직(Squad)에서 VOC와 인터뷰, 정량 지표를 기반으로 고수의 니즈와 불편함을 캐치하여 코어 문제 해결을 담당하시게 됩니다. Product Designer에게 있어 숨고는 상당히 매력적인 플랫폼입니다. 10~50대까지 다양한 연령층의 1,000만 유저가 1,000여개의 서비스에서 활동하는 생태계이면서 고수, 고객 어느 Side에도 치우치지 있지 않고 다양한 포트폴리오를 고민하고 만들어갈 수 있는 곳이거든요. 거기에 더해 완성도 높은 제품을 만들기 위해 데이터를 직접 들여다보며 가설을 설정하고, 이를 검증할 수 있는 최적화된 A/B Test 환경이 구축되어 있으며, 사용자 경험 개선을 위해 보다 정확하고 객관적인 의사 결정을 위해서 노력하고 있는 곳이 숨고입니다. 합류하시게 된다면 PO, 엔지니어, Product Data Analyst로 구성된 Squad 구성원들과 협업하여 정량 지표를 함께 분석하고 UX Writer, UX Researcher와 함께 정성 조사를 진행하며 사용자 인사이트를 발견하는 경험을 하실 수 있습니다. 아래 숨고의 디자인 원칙에 공감할 수 있는 분이라면 즐겁게 일할 수 있을 것 같습니다. 뜨겁게 고민을 나누고 함께 성장해 나아갈 당신을 기다리겠습니다!"
다올티에스(주),"Dell Tech 총판 부산지사 스토리지,서버 설치지원 엔지니어","ㆍDell Technologies 서버, 스토리지 등 하드웨어 설치 및 구축지역 (영남지역)
ㆍ고객사에서 운영중인 하드웨어 기술 지원

Dell Technologies 총판으로써의 영남지역의 서버, 스토리지 등의 Dell Tech 제품의 설치를 지원합니다.
VNX 유지보수, Unity 설치 및 유지보수, Power Store 등의 설치 및 유지보수 를 지원하며 기술문의 응대를 하고있습니다.",ㆍ유관경력 경력 3년 이상,"ㆍ운전면허 보유 및 운전 가능자
ㆍ관련업무 유경험자
ㆍIT산업에 대한 이해도가 높으신 분"
다올티에스(주),Dell Tech 총판 프리세일즈(기술영업) 경력채용,"ㆍ기업을 대상으로 한 Dell Technologies 솔루션에 대한 프리세일즈(컨설팅)
ㆍ프로젝트를 위한 IT 환경분석, 제안 활동 및 제안 자료 작성
ㆍ고객 대상 Dell Technologies 솔루션 교육 및 대외 프리젠테이션
ㆍ다양한 이해관계자와 원활한 커뮤니케이션으로 프리세일즈 업무 진행


다올티에스에서의 프리세일즈는 Dell Technologies와 SUSE의 총판으로서, 기술적 전문성과 탁월한 커뮤니케이션 능력을 바탕으로 고객 및 파트너사에게 최고의 서비스를 제공할 역할을 수행하고 있습니다.","ㆍIT관련 분야에서 최소 3년 이상의 경험
ㆍ학사 이상 학위 소지자","ㆍ원활한 커뮤니케이션 스킬과 컨설팅 능력 보유자
ㆍIT 솔루션(H/W, S/W) 프리세일즈 및 엔지니어 업무 경험자
ㆍDell Technologies 및 SUSE 솔루션에 대한 기술 지식 보유"
다올티에스(주),Dell Tech 총판 영업사원 신입 채용,"ㆍDell Technologies 총판 채널 및 고객 영업

총판영업은 Dell Technologies의 제품과 서비스를 Partner사(협력업체)를 통해 End user(최종고객)에게 판매는 업무입니다. 예를 들어 OO기업에 서버가 필요한 경우 Partner사는 OO기업에 Dell Tech의 서버를 제안하고, 당사는 Partner사가 제품을 판매할 수 있도록 마케팅, 기술교육 등을 지원하며, Partner사에 Dell Tech 제품을 공급하고 대금을 회수하는 역할을 하고 있습니다. 성공적인 수주를 위해 파트너 및 채널과의 신뢰 관계 유지, 정확한 가격 정책전달 및 지원이 중요 업무입니다.",ㆍ 신뢰감을 주는 대인관계 및 커뮤니케이션 능력,"ㆍ영어 소통 가능한자 우대
ㆍ컴퓨터 활용 우수자
ㆍIT산업에 대해 이해도가 높으신 분"
